[2025-02-28 19:11:01,316] [INFO] [get_data] Last operation Operation(id='2041006211821767433', parent_operation_id='', currency='rub', payment=MoneyValue(currency='rub', units=-348, nano=-170000000), price=MoneyValue(currency='pt.', units=4, nano=19000000), state=<OperationState.OPERATION_STATE_EXECUTED: 1>, quantity=1, quantity_rest=0, figi='FUTNGM022500', instrument_type='futures', date=datetime.datetime(2025, 2, 25, 17, 13, 15, 296000, tzinfo=datetime.timezone.utc), type='Покупка ценных бумаг', operation_type=<OperationType.OPERATION_TYPE_BUY: 15>, trades=[OperationTrade(trade_id='2041006211821732882', date_time=datetime.datetime(2025, 2, 25, 17, 13, 15, 296000, tzinfo=datetime.timezone.utc), quantity=1, price=MoneyValue(currency='rub', units=4, nano=19000000))], asset_uid='1fa4b56d-4a86-4b2f-8127-c4d0e3a47a63', position_uid='1fa4b56d-4a86-4b2f-8127-c4d0e3a47a63', instrument_uid='afbc7c40-fe28-465b-80ee-2f047bd691e4', child_operations=[ChildOperationItem(instrument_uid='afbc7c40-fe28-465b-80ee-2f047bd691e4', payment=MoneyValue(currency='rub', units=0, nano=-90000000))])
[2025-02-28 19:11:01,316] [INFO] [get_data]. Price of last operation: 4.01900000
[2025-02-28 19:11:01,317] [INFO] [update_data] Future quantity = 0
[2025-02-28 19:11:01,317] [INFO] [update_data] Orders_prices =  ()
[2025-02-28 19:11:22,876] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:22,975] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:26,023] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:26,464] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:29,395] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:32,606] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:32,703] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:33,905] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:34,037] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:37,309] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:37,414] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:40,687] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:40,788] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:44,329] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:44,431] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:48,809] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:48,912] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:11:59,377] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:02,309] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:02,467] [INFO] [rsi_subscriber]  Trying to BUY. quantity= 1.
[2025-02-28 19:12:02,467] [INFO] [o_p_w_s] i am working...
[2025-02-28 19:12:02,473] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:02,749] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.INVALID_ARGUMENT: (3, 'invalid argument')>, '30052', Metadata(tracking_id='574315dd41193e780923289c35b2cd96', ratelimit_limit='450, 450;w=60', ratelimit_remaining=449, ratelimit_reset=58, message='Instrument forbidden for trading by API'))
[2025-02-28 19:12:02,749] [INFO] Will retry after 1 seconds...
[2025-02-28 19:12:04,025] [INFO] [rsi_subscriber]  Trying to BUY. quantity= 1.
[2025-02-28 19:12:04,025] [INFO] [o_p_w_s] i am working...
[2025-02-28 19:12:04,030] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:04,209] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.INVALID_ARGUMENT: (3, 'invalid argument')>, '30052', Metadata(tracking_id='e74fdb7799d54156822ce7a4b44d9d55', ratelimit_limit='450, 450;w=60', ratelimit_remaining=448, ratelimit_reset=56, message='Instrument forbidden for trading by API'))
[2025-02-28 19:12:04,210] [INFO] Will retry after 2.5391187904183234 seconds...
[2025-02-28 19:12:05,285] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:05,298] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:06,765] [INFO] [rsi_subscriber]  Trying to BUY. quantity= 1.
[2025-02-28 19:12:06,766] [INFO] [o_p_w_s] i am working...
[2025-02-28 19:12:06,929] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:06,929] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.INVALID_ARGUMENT: (3, 'invalid argument')>, '30052', Metadata(tracking_id='da4887a6947a1f1ba0d5e9873211611f', ratelimit_limit='450, 450;w=60', ratelimit_remaining=447, ratelimit_reset=54, message='Instrument forbidden for trading by API'))
[2025-02-28 19:12:06,930] [INFO] Will retry after 5.935151666555549 seconds...
[2025-02-28 19:12:08,637] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:08,649] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:08,663] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:09,078] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:09,094] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:09,100] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,049] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,056] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,072] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,725] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,752] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,758] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,830] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,843] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:11,847] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:12,267] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:12,272] [INFO] Not enough data for EMA calculations.
